ObjectName,PosX,PosY,PosZ
Cube (20),0.408,0.330,0.090
Cube (21),-1.060,0.330,-1.557
Cube (22),0.558,0.330,0.822
Cube (1),-0.882,0.330,1.353
Cube (19),-0.104,0.330,-1.056
Cube (10),-0.410,0.330,-1.944
Cube (13),-1.790,0.330,-1.920
Cube (4),-0.332,0.330,-0.267
Cube (0),-1.690,0.330,1.710
Cube (15),1.210,0.330,1.152
Cube (7),-0.948,0.330,-1.040
Cube (14),1.950,0.330,0.282
Cube (3),0.444,0.330,-1.545
Cube (6),-0.126,0.330,0.972
Cube (16),1.770,0.330,-1.020
Cube (11),1.250,0.330,-1.662
Cube (17),-1.792,0.330,-0.350
Cube (8),-0.736,0.330,0.681
Cube (2),0.686,0.330,-0.828
Cube (12),0.008,0.330,2.043
Cube (5),-1.058,0.330,-0.021
Cube (9),0.740,0.330,1.503
Cube (18),-2.204,0.330,0.318
